Field,Description,Type
incident_day_of_week,Day of week of incident,engineered
incident_month,Month of incident,engineered
incident_hour_bin,Time of day category,engineered
customer_tenure_years,Customer tenure in years,engineered
days_since_last_claim,Days since prior claim (-1 = first claim),engineered
claim_mean,Mean of injury/property/vehicle claims,engineered
claim_std_dev,Standard deviation of claims,engineered
claim_percentile_rank,Percentile rank of total claim,engineered
iqr_flag,IQR outlier flag,anomaly_flag
zscore_total_claim,Z-score of total claim,anomaly
anomaly_zscore,Flag: |Z|>3,anomaly_flag
leading_digit,Leading digit (Benford),anomaly
benford_expected,Expected Benford probability,anomaly
benford_flag,Benford anomaly flag,anomaly_flag
rule_unusual_hour,Flag: claim at 1-5 AM,rule_flag
claims_last_30d,Rolling 30-day claims count,rule_feature
rule_high_frequency,Flag: >3 claims in 30 days,rule_flag
rule_suspicious_missing,Flag: missing police/property info,rule_flag
